GEOID,NAME,total_household14E,total_household14M,house_alone14E,house_alone14M,med_hh_inc14E,med_hh_inc14M
"24510150600","Census Tract 1506, Baltimore city, Maryland",928,142,393,124,25523,3895
"24510151000","Census Tract 1510, Baltimore city, Maryland",1732,165,493,152,33799,2469
"24510151200","Census Tract 1512, Baltimore city, Maryland",1731,169,614,162,22522,8681
"24510160100","Census Tract 1601, Baltimore city, Maryland",1033,139,510,109,18170,5456
"24510210200","Census Tract 2102, Baltimore city, Maryland",1313,111,473,131,40673,14631
"24510240300","Census Tract 2403, Baltimore city, Maryland",1053,78,539,110,93162,18128
"24510260203","Census Tract 2602.03, Baltimore city, Maryland",993,72,401,79,34526,6389
"24510260604","Census Tract 2606.04, Baltimore city, Maryland",537,59,195,55,20430,4527
"24510270200","Census Tract 2702, Baltimore city, Maryland",700,63,223,51,65648,7201
"24510040100","Census Tract 401, Baltimore city, Maryland",2215,232,1344,226,52035,4775
"24510040200","Census Tract 402, Baltimore city, Maryland",326,59,283,62,23000,10761
"24510060200","Census Tract 602, Baltimore city, Maryland",1168,117,325,101,51523,9387
"24510090500","Census Tract 905, Baltimore city, Maryland",704,75,245,75,37500,5808
"24510090800","Census Tract 908, Baltimore city, Maryland",1153,121,337,110,24935,10429
"24510120100","Census Tract 1201, Baltimore city, Maryland",2586,154,1282,198,63795,12104
"24510150701","Census Tract 1507.01, Baltimore city, Maryland",521,83,200,66,45250,11687
"24510150300","Census Tract 1503, Baltimore city, Maryland",762,99,350,93,32429,3461
"24510150702","Census Tract 1507.02, Baltimore city, Maryland",822,93,328,108,44167,16543
"24510151100","Census Tract 1511, Baltimore city, Maryland",2811,178,1097,252,40844,9297
"24510151300","Census Tract 1513, Baltimore city, Maryland",1607,125,403,130,27104,6971
"24005491600","Census Tract 4916, Baltimore County, Maryland",1190,88,472,99,56098,7278
"24005451803","Census Tract 4518.03, Baltimore County, Maryland",1691,108,396,102,64511,12324
"24005430900","Census Tract 4309, Baltimore County, Maryland",2132,121,359,156,54196,12788
"24005452300","Census Tract 4523, Baltimore County, Maryland",1135,62,267,81,50221,9861
"24510010200","Census Tract 102, Baltimore city, Maryland",1377,113,349,116,82399,14019
"24510060400","Census Tract 604, Baltimore city, Maryland",606,82,282,80,32353,17752
"24005411201","Census Tract 4112.01, Baltimore County, Maryland",1218,57,300,81,108000,13541
"24005408506","Census Tract 4085.06, Baltimore County, Maryland",2318,122,1058,183,56528,7137
"24005408507","Census Tract 4085.07, Baltimore County, Maryland",2846,167,1107,188,58438,6923
"24005411101","Census Tract 4111.01, Baltimore County, Maryland",769,60,89,40,102083,21329
"24510260403","Census Tract 2604.03, Baltimore city, Maryland",745,77,335,82,37589,11129
"24510230200","Census Tract 2302, Baltimore city, Maryland",1021,72,418,83,99183,10924
"24510260102","Census Tract 2601.02, Baltimore city, Maryland",1810,109,483,117,49741,8486
"24510260303","Census Tract 2603.03, Baltimore city, Maryland",382,67,203,69,20114,6859
"24510260800","Census Tract 2608, Baltimore city, Maryland",955,96,292,68,40587,5520
"24510270401","Census Tract 2704.01, Baltimore city, Maryland",2186,141,537,168,69074,13061
"24510280401","Census Tract 2804.01, Baltimore city, Maryland",1488,95,468,121,53150,9858
"24510270302","Census Tract 2703.02, Baltimore city, Maryland",582,73,176,60,63879,16232
"24510270702","Census Tract 2707.02, Baltimore city, Maryland",953,79,337,91,36940,11297
"24510270903","Census Tract 2709.03, Baltimore city, Maryland",1107,104,328,82,42269,13828
"24510271101","Census Tract 2711.01, Baltimore city, Maryland",912,65,535,94,39286,16895
"24510271801","Census Tract 2718.01, Baltimore city, Maryland",1242,131,497,132,31583,13765
"24510260201","Census Tract 2602.01, Baltimore city, Maryland",2329,151,1246,253,38175,8470
"24510260401","Census Tract 2604.01, Baltimore city, Maryland",1329,69,549,125,29514,8289
"24510270301","Census Tract 2703.01, Baltimore city, Maryland",1144,96,406,95,65789,10028
"24510270802","Census Tract 2708.02, Baltimore city, Maryland",1995,139,403,146,47722,6115
"24510270804","Census Tract 2708.04, Baltimore city, Maryland",1414,104,808,139,48750,13242
"24510270805","Census Tract 2708.05, Baltimore city, Maryland",1931,150,609,154,42860,7349
"24510271102","Census Tract 2711.02, Baltimore city, Maryland",407,45,51,31,191518,14311
"24510271802","Census Tract 2718.02, Baltimore city, Maryland",886,113,242,80,31810,5452
"24510280101","Census Tract 2801.01, Baltimore city, Maryland",1345,89,516,124,42935,8160
"24510280402","Census Tract 2804.02, Baltimore city, Maryland",687,32,196,74,38417,10719
"24510280403","Census Tract 2804.03, Baltimore city, Maryland",2218,114,1006,185,54698,3153
"24510271300","Census Tract 2713, Baltimore city, Maryland",1204,54,387,100,127778,11172
"24510250103","Census Tract 2501.03, Baltimore city, Maryland",1693,101,836,117,30321,5848
"24510280102","Census Tract 2801.02, Baltimore city, Maryland",2293,249,800,211,36719,3012
"24510190100","Census Tract 1901, Baltimore city, Maryland",750,83,281,75,28646,7797
"24510190200","Census Tract 1902, Baltimore city, Maryland",752,90,252,83,41328,10576
"24510220100","Census Tract 2201, Baltimore city, Maryland",2296,169,1056,166,54939,21199
"24510230300","Census Tract 2303, Baltimore city, Maryland",485,57,176,52,79135,17893
"24510250207","Census Tract 2502.07, Baltimore city, Maryland",953,37,403,71,30223,2541
"24510250303","Census Tract 2503.03, Baltimore city, Maryland",939,76,365,77,41278,4765
"24510260202","Census Tract 2602.02, Baltimore city, Maryland",2509,150,1078,208,31918,6223
"24510120201","Census Tract 1202.01, Baltimore city, Maryland",889,79,381,98,53173,16151
"24510272004","Census Tract 2720.04, Baltimore city, Maryland",2024,62,1037,150,49214,12126
"24510120202","Census Tract 1202.02, Baltimore city, Maryland",1974,146,1309,183,31189,6050
"24510272005","Census Tract 2720.05, Baltimore city, Maryland",1297,76,559,106,44363,9922
"24510272006","Census Tract 2720.06, Baltimore city, Maryland",1763,104,789,160,29058,6259
"24510272007","Census Tract 2720.07, Baltimore city, Maryland",1934,133,722,144,42582,7341
"24510280500","Census Tract 2805, Baltimore city, Maryland",993,67,581,96,11996,2592
"24510020100","Census Tract 201, Baltimore city, Maryland",889,80,288,67,85707,9169
"24510060100","Census Tract 601, Baltimore city, Maryland",927,95,216,59,38668,14540
"24510090200","Census Tract 902, Baltimore city, Maryland",1241,61,305,87,61178,9438
"24510090600","Census Tract 906, Baltimore city, Maryland",919,116,235,102,44544,8489
"24510090900","Census Tract 909, Baltimore city, Maryland",876,114,372,98,19310,7281
"24510100100","Census Tract 1001, Baltimore city, Maryland",848,79,448,84,21859,3850
"24510150100","Census Tract 1501, Baltimore city, Maryland",1097,101,325,103,18828,2133
"24005400200","Census Tract 4002, Baltimore County, Maryland",1024,80,316,76,66944,8777
"24005400800","Census Tract 4008, Baltimore County, Maryland",1018,71,342,108,66875,11522
"24005401504","Census Tract 4015.04, Baltimore County, Maryland",2244,80,350,107,94318,11295
"24005402304","Census Tract 4023.04, Baltimore County, Maryland",1443,80,284,97,57946,13674
"24005402404","Census Tract 4024.04, Baltimore County, Maryland",2269,107,674,201,41906,7779
"24005420600","Census Tract 4206, Baltimore County, Maryland",1449,72,365,91,45997,3918
"24005411202","Census Tract 4112.02, Baltimore County, Maryland",1363,103,321,95,103681,17081
"24005411307","Census Tract 4113.07, Baltimore County, Maryland",1496,86,391,88,68598,6096
"24005420401","Census Tract 4204.01, Baltimore County, Maryland",2044,178,459,122,56705,5983
"24005421102","Census Tract 4211.02, Baltimore County, Maryland",905,52,260,63,51689,5718
"24005430700","Census Tract 4307, Baltimore County, Maryland",1874,126,567,138,83854,12665
"24005430800","Census Tract 4308, Baltimore County, Maryland",1492,45,438,109,69100,12965
"24005441101","Census Tract 4411.01, Baltimore County, Maryland",821,50,217,63,57455,16520
"24005451200","Census Tract 4512, Baltimore County, Maryland",1561,89,391,109,70125,7909
