GEOID,NAME,total_household14E,total_household14M,house_alone14E,house_alone14M,med_hh_inc14E,med_hh_inc14M
"24510160802","Census Tract 1608.02, Baltimore city, Maryland",1101,78,334,103,35707,9137
"24510060300","Census Tract 603, Baltimore city, Maryland",754,73,306,84,53362,10633
"24510080101","Census Tract 801.01, Baltimore city, Maryland",1290,83,323,100,52689,9082
"24510080302","Census Tract 803.02, Baltimore city, Maryland",1094,95,545,121,22115,9436
"24510080500","Census Tract 805, Baltimore city, Maryland",543,61,160,67,26652,9280
"24510120500","Census Tract 1205, Baltimore city, Maryland",911,92,391,101,31928,9186
"24510130300","Census Tract 1303, Baltimore city, Maryland",874,98,397,105,32202,8595
"24510130803","Census Tract 1308.03, Baltimore city, Maryland",1223,116,563,120,59771,3677
"24510140100","Census Tract 1401, Baltimore city, Maryland",2371,166,1291,203,41365,14623
"24510150500","Census Tract 1505, Baltimore city, Maryland",669,46,249,64,30024,4424
"24510010400","Census Tract 104, Baltimore city, Maryland",1316,138,652,114,84167,17019
"24510020200","Census Tract 202, Baltimore city, Maryland",845,74,337,80,61065,12623
"24510030100","Census Tract 301, Baltimore city, Maryland",1122,113,381,108,20156,16556
"24510030200","Census Tract 302, Baltimore city, Maryland",1188,128,548,140,70250,29689
"24510070100","Census Tract 701, Baltimore city, Maryland",757,75,136,64,42670,17793
"24510080800","Census Tract 808, Baltimore city, Maryland",429,60,104,52,15601,2330
"24510080102","Census Tract 801.02, Baltimore city, Maryland",620,68,178,66,40500,7826
"24510080200","Census Tract 802, Baltimore city, Maryland",582,59,226,64,26795,8178
"24510200800","Census Tract 2008, Baltimore city, Maryland",903,65,328,83,33525,5975
"24510240200","Census Tract 2402, Baltimore city, Maryland",1424,116,444,113,129965,13423
"24510250204","Census Tract 2502.04, Baltimore city, Maryland",1522,79,442,105,13333,1453
"24510250206","Census Tract 2502.06, Baltimore city, Maryland",880,86,326,92,41354,7360
"24510250500","Census Tract 2505, Baltimore city, Maryland",2028,184,405,132,43813,9839
"24510260101","Census Tract 2601.01, Baltimore city, Maryland",1899,116,747,136,44491,3882
"24510260301","Census Tract 2603.01, Baltimore city, Maryland",1647,87,577,143,36554,6814
"24510270600","Census Tract 2706, Baltimore city, Maryland",1822,118,710,165,59762,10211
"24510010100","Census Tract 101, Baltimore city, Maryland",1417,92,542,98,90302,9916
"24510010500","Census Tract 105, Baltimore city, Maryland",828,60,253,70,96000,17607
"24510070200","Census Tract 702, Baltimore city, Maryland",1039,94,311,89,24933,10043
"24510070300","Census Tract 703, Baltimore city, Maryland",300,54,99,47,11786,6847
"24510070400","Census Tract 704, Baltimore city, Maryland",525,86,278,87,18295,10582
"24510080400","Census Tract 804, Baltimore city, Maryland",413,75,147,57,23434,6243
"24510130100","Census Tract 1301, Baltimore city, Maryland",1508,119,829,122,27426,5925
"24510130200","Census Tract 1302, Baltimore city, Maryland",1253,119,458,121,37708,10876
"24510130806","Census Tract 1308.06, Baltimore city, Maryland",589,55,239,69,66563,16943
"24510200200","Census Tract 2002, Baltimore city, Maryland",859,122,296,123,25809,10075
"24510200600","Census Tract 2006, Baltimore city, Maryland",871,102,110,57,34566,13383
"24510200701","Census Tract 2007.01, Baltimore city, Maryland",1755,117,644,116,38272,6601
"24510270803","Census Tract 2708.03, Baltimore city, Maryland",2854,143,1317,215,42862,7079
"24510270901","Census Tract 2709.01, Baltimore city, Maryland",1589,108,552,121,60246,9524
"24510271400","Census Tract 2714, Baltimore city, Maryland",1564,86,527,94,107857,22431
"24510271600","Census Tract 2716, Baltimore city, Maryland",1522,138,385,112,27602,4950
"24005400702","Census Tract 4007.02, Baltimore County, Maryland",672,45,160,53,82500,7681
"24005402307","Census Tract 4023.07, Baltimore County, Maryland",2520,151,1031,220,49659,8297
"24005402602","Census Tract 4026.02, Baltimore County, Maryland",690,38,195,66,77554,25559
"24005492300","Census Tract 4923, Baltimore County, Maryland",1275,96,309,92,67109,7003
"24005408304","Census Tract 4083.04, Baltimore County, Maryland",2265,131,822,134,82148,9155
"24005451401","Census Tract 4514.01, Baltimore County, Maryland",1255,104,250,105,71750,18375
"24005451402","Census Tract 4514.02, Baltimore County, Maryland",2091,119,506,172,47162,4688
"24005492401","Census Tract 4924.01, Baltimore County, Maryland",1372,79,210,107,90357,11468
"24005492402","Census Tract 4924.02, Baltimore County, Maryland",2953,236,1058,267,77262,7307
"24005980000","Census Tract 9800, Baltimore County, Maryland",0,12,0,12,,
"24005411308","Census Tract 4113.08, Baltimore County, Maryland",1259,79,315,101,80660,14171
"24005411309","Census Tract 4113.09, Baltimore County, Maryland",3189,100,714,144,102405,7986
"24005430104","Census Tract 4301.04, Baltimore County, Maryland",975,63,193,69,62946,15104
"24005492500","Census Tract 4925, Baltimore County, Maryland",49,33,19,22,26683,7359
"24005492600","Census Tract 4926, Baltimore County, Maryland",1489,81,549,104,62941,3320
"24005980100","Census Tract 9801, Baltimore County, Maryland",0,12,0,12,,
"24005980200","Census Tract 9802, Baltimore County, Maryland",0,12,0,12,,
"24005401506","Census Tract 4015.06, Baltimore County, Maryland",1880,87,460,126,73545,6852
"24005401507","Census Tract 4015.07, Baltimore County, Maryland",2063,129,645,182,52316,10377
"24005402406","Census Tract 4024.06, Baltimore County, Maryland",2718,141,849,187,56250,4637
"24005402509","Census Tract 4025.09, Baltimore County, Maryland",3941,162,1255,259,80521,10283
"24005403401","Census Tract 4034.01, Baltimore County, Maryland",1769,112,1041,147,51772,7135
"24005403402","Census Tract 4034.02, Baltimore County, Maryland",1983,154,817,178,36339,4844
"24005404101","Census Tract 4041.01, Baltimore County, Maryland",2079,156,707,139,97364,5213
"24005404102","Census Tract 4041.02, Baltimore County, Maryland",2070,117,546,163,63793,9912
"24005404403","Census Tract 4044.03, Baltimore County, Maryland",2017,93,524,141,48112,4809
"24005411302","Census Tract 4113.02, Baltimore County, Maryland",1146,83,139,65,88889,19863
"24005411406","Census Tract 4114.06, Baltimore County, Maryland",1690,71,415,80,93125,9521
"24005420301","Census Tract 4203.01, Baltimore County, Maryland",1076,48,283,95,48682,4254
"24005410200","Census Tract 4102, Baltimore County, Maryland",1636,58,190,63,122059,10522
"24005404600","Census Tract 4046, Baltimore County, Maryland",994,68,217,75,79444,18278
"24005404900","Census Tract 4049, Baltimore County, Maryland",1874,82,421,88,119861,19106
"24005411408","Census Tract 4114.08, Baltimore County, Maryland",1529,57,620,128,53512,8217
"24510010300","Census Tract 103, Baltimore city, Maryland",1030,97,336,91,91471,6418
"24510080301","Census Tract 803.01, Baltimore city, Maryland",570,68,195,64,33017,4595
"24510110100","Census Tract 1101, Baltimore city, Maryland",1844,202,917,196,45167,8816
"24510090300","Census Tract 903, Baltimore city, Maryland",1843,128,856,147,32969,8223
"24510100300","Census Tract 1003, Baltimore city, Maryland",0,12,0,12,,
"24510120400","Census Tract 1204, Baltimore city, Maryland",568,65,174,55,34815,10123
"24510130600","Census Tract 1306, Baltimore city, Maryland",1728,108,600,110,60636,5522
"24510130804","Census Tract 1308.04, Baltimore city, Maryland",899,64,337,80,59150,8338
"24510160200","Census Tract 1602, Baltimore city, Maryland",945,96,308,88,30350,10989
"24510160400","Census Tract 1604, Baltimore city, Maryland",757,74,136,50,27188,16723
"24510160700","Census Tract 1607, Baltimore city, Maryland",1601,125,699,142,33839,5690
"24510170200","Census Tract 1702, Baltimore city, Maryland",1491,133,844,156,9612,945
"24510180100","Census Tract 1801, Baltimore city, Maryland",870,75,344,73,13238,3462
"24510180300","Census Tract 1803, Baltimore city, Maryland",790,97,372,83,27857,14407
"24510200100","Census Tract 2001, Baltimore city, Maryland",507,57,157,66,27906,4836
"24510160300","Census Tract 1603, Baltimore city, Maryland",528,78,215,62,26781,1871
"24510120700","Census Tract 1207, Baltimore city, Maryland",1105,82,418,96,46441,4818
"24510130400","Census Tract 1304, Baltimore city, Maryland",791,79,334,72,33750,6892
"24510130700","Census Tract 1307, Baltimore city, Maryland",2427,147,1142,147,62569,12570
"24510140300","Census Tract 1403, Baltimore city, Maryland",1013,110,431,95,22612,5172
"24510170100","Census Tract 1701, Baltimore city, Maryland",937,65,670,83,28050,8267
"24510180200","Census Tract 1802, Baltimore city, Maryland",413,57,257,62,16793,8877
"24510280302","Census Tract 2803.02, Baltimore city, Maryland",880,84,395,88,39167,8461
"24510200702","Census Tract 2007.02, Baltimore city, Maryland",478,50,96,38,31429,9894
"24510230100","Census Tract 2301, Baltimore city, Maryland",791,71,293,73,63750,16187
"24510250205","Census Tract 2502.05, Baltimore city, Maryland",1565,119,442,125,44102,8381
"24510270402","Census Tract 2704.02, Baltimore city, Maryland",1245,88,387,108,65750,13751
"24510250402","Census Tract 2504.02, Baltimore city, Maryland",1663,122,410,105,29639,8698
"24510260501","Census Tract 2605.01, Baltimore city, Maryland",1848,149,573,148,43153,4126
"24510261100","Census Tract 2611, Baltimore city, Maryland",966,62,355,70,94500,15806
"24510270502","Census Tract 2705.02, Baltimore city, Maryland",1714,159,636,136,58219,6789
"24510270703","Census Tract 2707.03, Baltimore city, Maryland",1144,130,484,133,58032,8963
